cell	node	doublet
901	2	no
902	4	no
903	2	no
904	0	no
905	2	no
906	4	no
907	4	no
908	2	no
909	4	no
910	4	no
911	4	no
912	2	no
913	4	no
914	2	no
915	4	no
916	2	no
917	4	no
918	2	no
919	2	no
920	5	no
921	4	no
922	2	no
923	2	no
924	5	no
925	4	no
926	4	no
927	4	no
928	2	no
929	4	no
930	4	no
931	4	no
932	4	no
933	4	no
934	4	no
935	2	no
936	4	no
937	4	no
938	2	no
939	4	no
940	0	no
941	0	no
942	2	no
943	4	no
944	4	no
945	5	no
946	4	no
947	4	no
948	2	no
949	2	no
950	2	no
951	4	no
952	4	no
953	4	no
954	2	no
955	2	no
956	2	no
957	2	no
958	2	no
959	4	no
960	4	no
961	2	no
962	2	no
963	4	no
964	0	no
965	4	no
966	4	no
967	4	no
968	4	no
969	4	no
970	2	no
971	2	no
972	2	no
973	4	no
974	4	no
975	0	no
976	4	no
977	2	no
978	4	no
979	2	no
980	2	no
981	4	no
982	4	no
983	2	no
984	0	no
985	4	no
986	0	no
987	4	no
988	4	no
989	0	no
990	4	no
991	2	no
992	2	no
993	4	no
994	4	no
995	0	no
996	4	no
997	4	no
998	0	no
999	2	no
1000	4	no
1001	4	no
1002	4	no
1003	4	no
1004	2	no
1005	4	no
1006	4	no
1007	2	no
1008	2	no
1009	0	no
1010	4	no
1011	4	no
1012	4	no
1013	2	no
1014	4	no
1015	0	no
1016	4	no
1017	4	no
1018	4	no
1019	0	no
1020	4	no
1021	2	no
1022	4	no
1023	4	no
1024	4	no
1025	4	no
1026	4	no
1027	2	no
1028	4	no
1029	1	no
1030	2	no
1031	2	no
1032	4	no
1033	2	no
1034	0	no
1035	4	no
1036	2	no
1037	4	no
1038	2	no
1039	4	no
1040	0	no
1041	4	no
1042	4	no
1043	1	no
1044	4	no
1045	4	no
1046	4	no
1047	4	no
1048	2	no
1049	4	no
1050	0	no
1051	0	no
1052	4	no
1053	4	no
1054	4	no
1055	4	no
1056	2	no
1057	4	no
1058	2	no
1059	0	no
1060	4	no
1061	4	no
1062	4	no
1063	4	no
1064	4	no
1065	2	no
1066	4	no
1067	2	no
1068	1	no
1069	0	no
1070	4	no
1071	4	no
1072	4	no
1073	4	no
1074	4	no
1075	4	no
1076	2	no
1077	4	no
1078	0	no
1079	4	no
1080	2	no
1081	4	no
1082	0	no
1083	4	no
1084	0	no
1085	0	no
1086	3	no
1087	4	no
1088	2	no
1089	0	no
1090	4	no
1091	2	no
1092	0	no
1093	4	no
1094	2	no
1095	2	no
1096	4	no
1097	4	no
1098	4	no
1099	4	no
1100	4	no
1101	4	no
1102	5	no
1103	5	no
1104	4	no
1105	4	no
1106	4	no
1107	4	no
1108	4	no
1109	4	no
1110	4	no
1111	4	no
1112	2	no
1113	2	no
1114	2	no
1115	4	no
1116	5	no
1117	2	no
1118	4	no
1119	5	no
1120	0	no
1121	2	no
1122	4	no
1123	2	no
1124	4	no
1125	4	no
1126	4	no
1127	5	no
1128	2	no
1129	2	no
1130	2	no
1131	4	no
1132	4	no
1133	4	no
1134	2	no
1135	4	no
1136	4	no
1137	2	no
1138	4	no
1139	4	no
1140	4	no
1141	2	no
1142	4	no
1143	4	no
1144	0	no
1145	0	no
1146	0	no
1147	4	no
1148	2	no
1149	5	no
1150	4	no
1151	1	no
1152	4	no
1153	4	no
1154	4	no
1155	4	no
1156	5	no
1157	2	no
1158	2	no
1159	1	no
1160	4	no
1161	4	no
1162	0	no
1163	1	no
1164	4	no
1165	2	no
1166	4	no
1167	2	no
1168	2	no
1169	4	no
1170	2	no
1171	5	no
1172	0	no
1173	4	no
1174	0	no
1175	2	no
1176	4	no
1177	2	no
1178	4	no
1179	2	no
1180	4	no
1181	1	no
1182	2	no
1183	4	no
1184	4	no
1185	4	no
1186	4	no
1187	2	no
1188	2	no
1189	2	no
1190	2	no
1191	4	no
1192	2	no
1193	2	no
1194	0	no
1195	4	no
1196	2	no
1197	2	no
1198	4	no
1199	4	no
1200	2	no
1201	2	no
1202	2	no
1203	0	no
1204	4	no
1205	4	no
1206	0	no
1207	0	no
1208	2	no
1209	4	no
1210	4	no
1211	4	no
1212	4	no
1213	4	no
1214	2	no
1215	4	no
1216	4	no
1217	4	no
1218	2	no
1219	4	no
1220	0	no
1221	4	no
1222	4	no
1223	4	no
1224	4	no
1225	4	no
1226	4	no
1227	4	no
1228	4	no
1229	5	no
1230	4	no
1231	4	no
1232	4	no
1233	4	no
1234	4	no
1235	2	no
1236	4	no
1237	4	no
1238	2	no
1239	4	no
1240	4	no
1241	4	no
1242	2	no
1243	2	no
1244	2	no
1245	2	no
1246	2	no
1247	4	no
1248	0	no
1249	2	no
1250	2	no
1251	4	no
1252	4	no
1253	4	no
1254	4	no
1255	4	no
1256	4	no
1257	2	no
1258	4	no
1259	4	no
1260	5	no
1261	4	no
1262	2	no
1263	4	no
1264	4	no
1265	4	no
1266	4	no
1267	2	no
1268	2	no
1269	2	no
1270	2	no
1271	1	no
1272	2	no
1273	0	no
1274	2	no
1275	4	no
1276	2	no
1277	2	no
1278	2	no
1279	4	no
1280	4	no
1281	4	no
1282	4	no
1283	2	no
1284	4	no
1285	2	no
1286	4	no
1287	1	no
1288	1	no
1289	5	no
1290	2	no
1291	4	no
1292	4	no
1293	4	no
1294	2	no
1295	2	no
1296	4	no
1297	4	no
1298	2	no
1299	4	no
1300	2	no
1301	4	no
1302	4	no
1303	4	no
1304	2	no
1305	2	no
1306	4	no
1307	2	no
1308	4	no
1309	4	no
1310	4	no
1311	4	no
1312	0	no
1313	4	no
1314	4	no
1315	2	no
1316	2	no
1317	4	no
1318	4	no
1319	2	no
1320	2	no
1321	5	no
1322	0	no
1323	4	no
1324	4	no
1325	2	no
1326	4	no
1327	4	no
1328	4	no
1329	4	no
1330	4	no
1331	0	no
1332	4	no
1333	0	no
1334	4	no
1335	4	no
1336	4	no
1337	4	no
1338	4	no
1339	4	no
1340	2	no
1341	2	no
1342	2	no
1343	4	no
1344	2	no
1345	4	no
1346	0	no
1347	2	no
1348	4	no
1349	4	no
1350	2	no
1351	4	no
1352	4	no
1353	4	no
1354	5	no
1355	4	no
1356	4	no
1357	4	no
1358	4	no
1359	0	no
1360	4	no
1361	2	no
1362	4	no
1363	4	no
1364	4	no
1365	2	no
1366	4	no
1367	2	no
1368	4	no
1369	5	no
1370	4	no
1371	2	no
1372	2	no
1373	4	no
1374	4	no
1375	4	no
1376	4	no
1377	4	no
1378	4	no
1379	4	no
1380	4	no
1381	2	no
1382	4	no
1383	2	no
1384	4	no
1385	4	no
1386	2	no
1387	4	no
1388	2	no
1389	4	no
1390	4	no
1391	2	no
1392	2	no
1393	2	no
1394	4	no
1395	4	no
1396	0	no
1397	5	no
1398	4	no
1399	2	no
1400	4	no
1401	4	no
1402	2	no
1403	1	no
1404	4	no
1405	4	no
1406	5	no
1407	4	no
1408	4	no
1409	2	no
1410	2	no
1411	4	no
1412	4	no
1413	4	no
1414	4	no
1415	0	no
1416	4	no
1417	4	no
1418	4	no
1419	2	no
1420	2	no
1421	4	no
1422	4	no
1423	4	no
1424	4	no
1425	4	no
1426	0	no
1427	2	no
1428	2	no
1429	4	no
1430	2	no
1431	4	no
1432	4	no
1433	4	no
1434	4	no
1435	4	no
1436	4	no
1437	1	no
1438	4	no
1439	2	no
1440	2	no
1441	4	no
1442	4	no
1443	4	no
1444	4	no
1445	2	no
1446	1	no
1447	4	no
1448	4	no
1449	2	no
1450	4	no
1451	4	no
1452	4	no
1453	2	no
1454	4	no
1455	2	no
1456	1	no
1457	2	no
1458	4	no
1459	4	no
1460	4	no
1461	4	no
1462	4	no
1463	4	no
1464	2	no
1465	4	no
1466	4	no
1467	4	no
1468	2	no
1469	4	no
1470	4	no
1471	4	no
1472	2	no
1473	4	no
1474	2	no
1475	4	no
1476	2	no
1477	4	no
1478	4	no
1479	4	no
1480	4	no
1481	2	no
1482	2	no
1483	4	no
1484	1	no
1485	5	no
1486	4	no
1487	2	no
1488	2	no
1489	2	no
1490	2	no
1491	2	no
1492	4	no
1493	4	no
1494	2	no
1495	1	no
1496	2	no
1497	2	no
1498	5	no
1499	0	no
1500	4	no
1501	4	no
1502	4	no
1503	4	no
1504	5	no
1505	4	no
1506	4	no
1507	2	no
1508	2	no
1509	2	no
1510	4	no
1511	2	no
1512	2	no
1513	4	no
1514	4	no
1515	3	no
1516	4	no
1517	4	no
1518	4	no
1519	2	no
1520	4	no
1521	4	no
1522	2	no
1523	2	no
1524	2	no
1525	4	no
1526	3	no
1527	2	no
1528	2	no
1529	5	no
1530	2	no
1531	4	no
1532	5	no
1533	0	no
1534	2	no
1535	4	no
1536	2	no
1537	4	no
1538	4	no
1539	4	no
1540	0	no
1541	2	no
1542	2	no
1543	0	no
1544	0	no
1545	4	no
1546	2	no
1547	4	no
1548	4	no
1549	4	no
1550	4	no
1551	2	no
1552	4	no
1553	2	no
1554	4	no
1555	4	no
1556	4	no
1557	4	no
1558	4	no
1559	0	no
1560	0	no
1561	4	no
1562	4	no
1563	4	no
1564	2	no
1565	5	no
1566	4	no
1567	5	no
1568	0	no
1569	5	no
1570	4	no
1571	5	no
1572	4	no
1573	5	no
1574	4	no
1575	4	no
1576	2	no
1577	5	no
1578	1	no
1579	2	no
1580	2	no
1581	0	no
1582	4	no
1583	4	no
1584	4	no
1585	4	no
1586	4	no
1587	4	no
1588	4	no
1589	4	no
1590	2	no
1591	4	no
1592	2	no
1593	4	no
1594	4	no
1595	5	no
1596	4	no
1597	2	no
1598	5	no
1599	4	no
1600	2	no
1601	4	no
1602	4	no
1603	2	no
1604	4	no
1605	2	no
1606	2	no
1607	2	no
1608	4	no
1609	0	no
1610	2	no
1611	4	no
1612	4	no
1613	4	no
1614	4	no
1615	2	no
1616	4	no
1617	4	no
1618	2	no
1619	4	no
1620	4	no
1621	2	no
1622	4	no
1623	4	no
1624	4	no
1625	2	no
1626	4	no
1627	4	no
1628	4	no
1629	2	no
1630	4	no
1631	4	no
1632	2	no
1633	4	no
1634	4	no
1635	4	no
1636	2	no
1637	4	no
1638	2	no
1639	2	no
1640	4	no
1641	4	no
1642	2	no
1643	2	no
1644	4	no
1645	2	no
1646	1	no
1647	4	no
1648	4	no
1649	4	no
1650	4	no
1651	2	no
1652	2	no
1653	5	no
1654	4	no
1655	2	no
1656	5	no
1657	5	no
1658	0	no
1659	4	no
1660	2	no
1661	4	no
1662	0	no
1663	2	no
1664	4	no
1665	0	no
1666	5	no
1667	4	no
1668	4	no
1669	4	no
1670	2	no
1671	4	no
1672	4	no
1673	2	no
1674	0	no
1675	2	no
1676	4	no
1677	4	no
1678	4	no
1679	4	no
1680	0	no
1681	4	no
1682	2	no
1683	2	no
1684	0	no
1685	4	no
1686	4	no
1687	4	no
1688	2	no
1689	2	no
1690	2	no
1691	5	no
1692	4	no
1693	0	no
1694	4	no
1695	4	no
1696	4	no
1697	2	no
1698	4	no
1699	4	no
1700	4	no
1701	4	no
1702	2	no
1703	4	no
1704	2	no
1705	4	no
1706	4	no
1707	0	no
1708	4	no
1709	2	no
1710	5	no
1711	4	no
1712	2	no
1713	2	no
1714	5	no
1715	4	no
1716	4	no
1717	4	no
1718	4	no
1719	1	no
1720	4	no
1721	5	no
1722	4	no
1723	0	no
1724	2	no
1725	5	no
1726	4	no
1727	4	no
1728	2	no
1729	2	no
1730	4	no
1731	4	no
1732	4	no
1733	0	no
1734	4	no
1735	4	no
1736	2	no
1737	1	no
1738	1	no
1739	5	no
1740	4	no
1741	5	no
1742	4	no
1743	4	no
1744	2	no
1745	2	no
1746	2	no
1747	4	no
1748	4	no
1749	5	no
1750	4	no
1751	1	no
1752	2	no
1753	4	no
1754	2	no
1755	4	no
1756	2	no
1757	0	no
1758	4	no
1759	4	no
1760	2	no
1761	2	no
1762	2	no
1763	4	no
1764	4	no
1765	2	no
1766	2	no
1767	2	no
1768	4	no
1769	0	no
1770	2	no
1771	5	no
1772	2	no
1773	4	no
1774	0	no
1775	4	no
1776	4	no
1777	4	no
1778	2	no
1779	4	no
1780	4	no
1781	4	no
1782	4	no
1783	2	no
1784	4	no
1785	4	no
1786	4	no
1787	4	no
1788	2	no
1789	4	no
1790	4	no
1791	4	no
1792	2	no
1793	5	no
1794	2	no
1795	2	no
1796	4	no
1797	4	no
1798	2	no
1799	2	no
1800	4	no
1801	4	no
1802	2	no
1803	4	no
1804	4	no
1805	4	no
1806	4	no
1807	4	no
1808	4	no
1809	2	no
1810	2	no
1811	2	no
1812	2	no
1813	4	no
1814	4	no
1815	2	no
1816	4	no
1817	4	no
1818	4	no
1819	3	no
1820	4	no
1821	4	no
1822	4	no
1823	4	no
1824	4	no
1825	4	no
1826	2	no
1827	0	no
1828	4	no
1829	4	no
1830	4	no
1831	2	no
1832	4	no
1833	2	no
1834	4	no
1835	2	no
1836	4	no
1837	4	no
1838	4	no
1839	2	no
1840	4	no
1841	1	no
1842	4	no
1843	2	no
1844	2	no
1845	2	no
1846	2	no
1847	2	no
1848	4	no
1849	4	no
1850	2	no
1851	2	no
1852	4	no
1853	2	no
1854	4	no
1855	2	no
1856	4	no
1857	4	no
1858	4	no
1859	4	no
1860	4	no
1861	5	no
1862	4	no
1863	4	no
1864	0	no
1865	4	no
1866	4	no
1867	2	no
1868	2	no
1869	4	no
1870	4	no
1871	0	no
1872	4	no
1873	2	no
1874	4	no
1875	2	no
1876	4	no
1877	5	no
1878	5	no
1879	4	no
1880	4	no
1881	4	no
1882	2	no
1883	4	no
1884	4	no
1885	2	no
1886	4	no
1887	0	no
1888	4	no
1889	2	no
1890	4	no
1891	4	no
1892	2	no
1893	4	no
1894	4	no
1895	5	no
1896	4	no
1897	2	no
1898	4	no
1899	2	no
1900	1	no
1901	4	no
1902	4	no
1903	2	no
1904	1	no
1905	2	no
1906	2	no
1907	2	no
1908	4	no
1909	4	no
1910	2	no
1911	2	no
1912	4	no
1913	2	no
1914	1	no
1915	4	no
1916	4	no
1917	4	no
1918	3	no
1919	4	no
1920	2	no
1921	4	no
1922	2	no
1923	4	no
1924	2	no
1925	4	no
1926	4	no
1927	2	no
1928	2	no
1929	4	no
1930	4	no
1931	2	no
1932	4	no
1933	4	no
1934	4	no
1935	4	no
1936	2	no
1937	2	no
1938	4	no
1939	4	no
1940	2	no
1941	0	no
1942	2	no
1943	4	no
1944	2	no
1945	2	no
1946	0	no
1947	2	no
1948	4	no
1949	0	no
1950	2	no
1951	4	no
1952	0	no
1953	4	no
1954	5	no
1955	2	no
1956	2	no
1957	4	no
1958	2	no
1959	4	no
1960	0	no
1961	4	no
1962	4	no
1963	5	no
1964	4	no
1965	5	no
1966	4	no
1967	4	no
1968	4	no
1969	4	no
1970	2	no
1971	4	no
1972	4	no
1973	4	no
1974	4	no
1975	4	no
1976	2	no
1977	2	no
1978	1	no
1979	4	no
1980	4	no
1981	4	no
1982	4	no
1983	4	no
1984	4	no
1985	4	no
1986	4	no
1987	4	no
1988	2	no
1989	4	no
1990	2	no
1991	2	no
1992	4	no
1993	4	no
1994	2	no
1995	4	no
1996	2	no
1997	2	no
1998	5	no
1999	4	no
2000	4	no
2001	2	no
2002	4	no
2003	2	no
2004	4	no
2005	4	no
2006	5	no
2007	4	no
2008	4	no
2009	2	no
2010	4	no
2011	4	no
2012	2	no
2013	2	no
2014	2	no
2015	2	no
2016	4	no
2017	0	no
2018	4	no
2019	5	no
2020	4	no
2021	2	no
2022	4	no
2023	2	no
2024	4	no
2025	4	no
2026	0	no
2027	2	no
2028	2	no
2029	0	no
2030	4	no
2031	2	no
2032	2	no
2033	2	no
2034	2	no
2035	4	no
2036	4	no
2037	2	no
2038	2	no
2039	4	no
2040	2	no
2041	2	no
2042	2	no
2043	0	no
2044	0	no
2045	5	no
2046	4	no
2047	4	no
2048	4	no
2049	2	no
2050	4	no
2051	2	no
2052	4	no
2053	5	no
2054	5	no
2055	2	no
2056	5	no
2057	4	no
2058	4	no
2059	4	no
2060	2	no
2061	5	no
2062	4	no
2063	4	no
2064	2	no
2065	0	no
2066	4	no
2067	4	no
2068	5	no
2069	2	no
2070	2	no
2071	4	no
2072	0	no
2073	2	no
2074	2	no
2075	2	no
2076	4	no
2077	1	no
2078	2	no
2079	4	no
2080	4	no
2081	4	no
2082	4	no
2083	4	no
2084	2	no
2085	5	no
2086	2	no
2087	4	no
2088	4	no
2089	4	no
2090	4	no
2091	2	no
2092	4	no
2093	2	no
2094	4	no
2095	2	no
2096	4	no
2097	4	no
2098	4	no
2099	4	no
2100	2	no
2101	4	no
2102	0	no
2103	4	no
2104	4	no
2105	4	no
2106	4	no
2107	4	no
2108	0	no
2109	1	no
2110	1	no
2111	4	no
2112	4	no
2113	5	no
2114	4	no
2115	5	no
2116	4	no
2117	4	no
2118	0	no
2119	4	no
2120	4	no
2121	4	no
2122	1	no
2123	4	no
2124	2	no
2125	4	no
2126	4	no
2127	4	no
2128	4	no
2129	2	no
2130	4	no
2131	4	no
2132	4	no
2133	4	no
2134	4	no
2135	0	no
2136	0	no
2137	4	no
2138	4	no
2139	4	no
